temp,pressure,humidity,precipitation,cloud,gust,condition
35.6,1002.0,79,0.0,8,31.3,Clear
33.6,1002.0,80,0.0,7,29.4,Clear
31.5,1002.0,81,0.0,7,27.5,Clear
29.5,1002.0,82,0.0,6,25.6,Clear
29.9,1002.0,81,0.0,7,24.0,Clear
30.4,1002.0,80,0.0,8,22.4,Clear
30.8,1003.0,79,0.0,9,20.9,Clear
32.5,1003.0,71,0.0,7,20.4,Clear
34.1,1003.0,63,0.0,5,19.9,Clear
35.8,1004.0,56,0.0,2,19.4,Clear
37.4,1003.0,48,0.0,4,18.7,Clear
39.1,1003.0,39,0.0,5,18.0,Clear
40.7,1002.0,31,0.0,7,17.3,Clear
41.2,1002.0,28,0.0,8,16.0,Clear
41.7,1001.0,25,0.0,10,14.6,Clear
42.2,1000.0,22,0.0,12,13.3,Clear
41.8,1000.0,27,0.0,8,16.1,Clear
41.4,1000.0,33,0.0,5,18.8,Clear
41.0,1000.0,38,0.0,1,21.6,Clear
40.1,1001.0,48,0.0,1,26.4,Clear
39.2,1001.0,58,0.0,0,31.2,Clear
38.3,1002.0,69,0.0,0,36.0,Clear
37.3,1002.0,69,0.0,0,32.9,Clear
36.2,1002.0,70,0.0,0,29.8,Clear
35.2,1002.0,71,0.0,0,26.6,Clear
33.9,1002.0,69,0.0,0,24.0,Clear
32.5,1002.0,68,0.0,0,21.4,Clear
31.2,1002.0,67,0.0,0,18.7,Clear
31.5,1002.0,67,0.0,0,17.9,Clear
31.7,1002.0,67,0.0,0,17.0,Clear
32.0,1003.0,67,0.0,0,16.2,Clear
33.7,1003.0,62,0.0,0,15.1,Clear
35.4,1003.0,56,0.0,0,14.0,Clear
37.1,1004.0,50,0.0,0,13.0,Clear
38.6,1003.0,43,0.0,2,12.0,Clear
40.2,1003.0,36,0.0,3,11.0,Clear
41.7,1002.0,28,0.0,5,10.1,Clear
42.1,1002.0,25,0.0,6,9.7,Clear
42.5,1001.0,22,0.0,8,9.4,Clear
42.9,1000.0,19,0.0,10,9.0,Clear
42.4,1000.0,25,0.0,9,12.5,Clear
42.0,1000.0,31,0.0,7,16.0,Clear
41.5,1000.0,38,0.0,6,19.4,Clear
40.4,1000.0,49,0.0,6,24.5,Clear
39.2,1001.0,60,0.0,7,29.5,Clear
38.1,1001.0,71,0.0,7,34.6,Clear
37.1,1001.0,70,0.0,6,29.8,Clear
36.2,1001.0,69,0.0,4,25.0,Clear
35.2,1002.0,67,0.0,3,20.2,Clear
34.1,1002.0,66,0.0,3,18.7,Clear
33.0,1001.0,64,0.0,2,17.3,Clear
31.9,1001.0,63,0.0,2,15.8,Clear
32.3,1002.0,62,0.0,1,14.9,Clear
32.6,1002.0,61,0.0,1,13.9,Clear
33.0,1002.0,60,0.0,1,13.0,Clear
34.4,1002.0,56,0.0,1,13.3,Clear
35.7,1003.0,53,0.0,1,13.7,Clear
37.1,1003.0,50,0.0,1,14.0,Clear
38.3,1002.0,44,0.0,3,14.4,Clear
39.5,1002.0,39,0.0,5,14.8,Clear
40.7,1001.0,33,0.0,8,15.1,Clear
40.8,1001.0,32,0.0,11,17.2,Clear
40.9,1000.0,31,0.0,15,19.2,Clear
41.0,999.0,30,0.0,19,21.2,Clear
39.8,999.0,35,0.0,16,26.3,Clear
38.5,999.0,41,0.0,12,31.3,Clear
37.3,999.0,46,0.0,9,36.4,Clear
36.1,1000.0,52,0.0,7,37.1,Clear
34.8,1000.0,58,0.0,5,37.8,Clear
33.6,1001.0,63,0.0,3,38.5,Clear
32.9,1001.0,64,0.0,3,35.2,Clear
32.3,1001.0,65,0.0,3,31.8,Clear
31.6,1001.0,66,0.0,3,28.4,Clear
31.5,1001.0,67,0.0,2,25.4,Clear
31.3,1001.0,68,0.0,2,22.4,Clear
31.2,1001.0,69,0.0,2,19.4,Clear
31.5,1001.0,69,0.0,2,18.7,Clear
31.7,1002.0,69,0.0,1,18.0,Clear
32.0,1002.0,68,0.0,1,17.3,Clear
33.5,1002.0,62,0.0,1,17.4,Clear
34.9,1002.0,56,0.0,0,17.5,Clear
36.4,1003.0,49,0.0,0,17.6,Clear
38.0,1002.0,42,0.0,1,16.8,Clear
39.6,1001.0,35,0.0,2,16.0,Clear
41.2,1001.0,28,0.0,2,15.1,Clear
41.7,1000.0,25,0.0,4,14.2,Clear
42.3,999.0,21,0.0,5,13.2,Clear
42.8,999.0,18,0.0,6,12.2,Clear
42.3,999.0,23,0.0,5,15.2,Clear
41.7,999.0,29,0.0,4,18.2,Clear
41.2,999.0,34,0.0,3,21.2,Clear
40.2,999.0,44,0.0,2,27.2,Clear
39.2,1000.0,54,0.0,1,33.2,Clear
38.2,1001.0,64,0.0,0,39.2,Clear
36.9,1001.0,65,0.0,0,38.6,Clear
35.6,1001.0,66,0.0,0,38.0,Clear
34.3,1001.0,67,0.0,0,37.4,Clear
32.9,1001.0,68,0.0,0,37.2,Clear
31.5,1001.0,69,0.0,0,37.0,Clear
30.1,1001.0,71,0.0,0,36.7,Clear
30.0,1001.0,72,0.0,9,34.4,Clear
30.0,1002.0,73,0.0,18,32.2,Chance of rain
29.9,1002.0,74,0.0,27,29.9,Chance of rain
31.1,1003.0,70,0.0,36,27.6,Chance of rain
32.3,1003.0,67,0.03,46,25.3,Clear
33.5,1004.0,63,0.04,55,23.0,Clear
35.4,1003.0,55,0.02,40,23.3,Clear
37.3,1003.0,48,0.0,25,23.5,Clear
39.2,1002.0,40,0.0,10,23.8,Clear
39.1,1001.0,41,0.0,13,25.4,Clear
39.0,1000.0,42,0.0,16,27.1,Clear
38.9,999.0,42,0.0,18,28.8,Clear
37.8,999.0,47,0.0,16,30.8,Clear
36.8,999.0,52,0.0,13,32.9,Clear
35.7,999.0,56,0.0,11,34.9,Clear
34.7,1000.0,60,0.0,10,34.7,Clear
33.8,1000.0,64,0.0,9,34.4,Clear
32.8,1000.0,68,0.0,8,34.2,Clear
32.1,1001.0,69,0.0,7,32.9,Clear
31.4,1001.0,69,0.0,6,31.6,Clear
30.7,1001.0,70,0.0,5,30.2,Clear
30.5,1001.0,71,0.0,8,28.9,Clear
30.3,1001.0,72,0.0,11,27.6,Chance of rain
30.1,1001.0,73,0.0,13,26.3,Chance of rain
30.5,1001.0,73,0.0,16,25.9,Chance of rain
30.8,1002.0,72,0.0,19,25.6,Clear
31.2,1002.0,71,0.0,21,25.2,Clear
32.9,1003.0,65,0.0,15,21.7,Clear
34.5,1003.0,58,0.0,9,18.2,Clear
36.2,1004.0,52,0.0,3,14.8,Clear
37.7,1003.0,46,0.0,4,13.9,Clear
39.1,1002.0,40,0.0,4,13.1,Clear
40.6,1002.0,34,0.0,5,12.2,Clear
41.2,1001.0,31,0.0,14,11.0,Clear
41.8,1000.0,29,0.0,23,9.8,Chance of rain
42.4,1000.0,26,0.0,32,8.6,Chance of rain
41.8,1000.0,32,0.0,48,12.0,Chance of rain
41.1,1000.0,37,0.23,65,15.4,Rainy
40.5,1000.0,42,0.31,81,18.7,Rainy
39.5,1001.0,51,0.16,81,24.8,Rainy
38.5,1001.0,60,0.67,81,31.0,Rainy
37.5,1002.0,69,0.89,81,37.1,Rainy
36.2,1002.0,69,0.44,80,33.5,Rainy
35.0,1003.0,69,0.43,79,29.9,Chance of rain
33.7,1003.0,69,0.58,78,26.3,Chance of rain
32.5,1003.0,70,0.29,67,25.3,Chance of rain
31.2,1003.0,72,0.0,55,24.4,Clear
30.0,1002.0,73,0.0,44,23.4,Clear
30.3,1002.0,73,0.0,32,25.0,Clear
30.5,1003.0,72,0.0,21,26.5,Clear
30.8,1003.0,71,0.0,10,28.1,Clear
32.3,1003.0,65,0.0,10,25.9,Clear
33.8,1003.0,59,0.0,9,23.8,Clear
35.3,1003.0,54,0.0,9,21.6,Clear
36.6,1003.0,49,0.0,15,21.0,Clear
37.8,1002.0,45,0.0,20,20.4,Chance of rain
39.1,1002.0,40,0.0,26,19.8,Chance of rain
38.6,1001.0,42,0.0,29,24.7,Chance of rain
38.2,1000.0,44,0.0,32,29.6,Clear
37.7,999.0,46,0.0,34,34.6,Clear
36.5,999.0,50,0.0,34,38.0,Clear
35.4,999.0,55,2.0,33,41.5,Heavy rain at times
34.2,1000.0,59,2.67,32,45.0,Heavy rain at times
33.1,1000.0,64,1.33,46,43.1,Heavy rain at times
32.1,1001.0,69,6.0,60,41.2,Heavy rain at times
31.0,1002.0,73,8.0,74,39.2,Heavy rain at times
30.8,1002.0,74,4.0,68,35.0,Heavy rain at times
30.6,1001.0,76,4.03,62,30.8,Clear
23.6,1013.0,61,0.0,49,22.0,Clear
23.1,1013.0,60,0.0,44,21.1,Clear
22.5,1013.0,60,0.0,38,20.3,Clear
22.0,1013.0,60,0.0,33,19.4,Clear
21.7,1013.0,59,0.0,24,18.7,Clear
21.3,1013.0,57,0.0,14,18.0,Clear
21.0,1014.0,55,0.0,5,17.3,Clear
21.5,1014.0,52,0.0,3,17.6,Clear
22.1,1014.0,48,0.0,2,18.0,Clear
22.6,1015.0,45,0.0,0,18.4,Clear
23.9,1014.0,41,0.0,1,17.6,Clear
25.1,1014.0,36,0.0,2,16.9,Clear
26.4,1014.0,31,0.0,3,16.2,Clear
27.2,1014.0,29,0.0,5,14.9,Clear
28.0,1014.0,27,0.0,7,13.6,Clear
28.8,1014.0,24,0.0,9,12.2,Clear
28.7,1013.0,25,0.0,11,11.8,Clear
28.5,1013.0,26,0.0,12,11.3,Clear
28.4,1013.0,27,0.0,13,10.8,Clear
27.6,1013.0,29,0.0,16,9.8,Clear
26.7,1013.0,32,0.0,18,8.9,Clear
25.9,1014.0,35,0.0,20,7.9,Clear
25.2,1014.0,38,0.0,20,7.2,Clear
24.6,1013.0,41,0.0,19,6.5,Clear
23.9,1013.0,44,0.0,19,5.8,Clear
23.2,1013.0,45,0.0,23,8.2,Clear
22.6,1013.0,46,0.0,27,10.6,Clear
21.9,1013.0,48,0.0,32,13.0,Clear
21.5,1013.0,49,0.0,42,14.5,Clear
21.0,1013.0,50,0.0,52,16.1,Chance of rain
20.6,1013.0,51,0.0,62,17.6,Chance of rain
20.7,1013.0,54,0.0,68,17.9,Chance of rain
20.7,1012.0,56,0.03,74,18.1,Rainy
20.8,1012.0,59,0.04,79,18.4,Rainy
21.1,1011.0,62,0.02,84,21.4,Rainy
21.5,1011.0,65,0.17,88,24.4,Rainy
21.8,1010.0,68,0.22,93,27.4,Rainy
22.5,1009.0,67,0.11,93,26.9,Rainy
23.2,1008.0,66,0.33,94,26.4,Rainy
23.9,1008.0,65,0.44,94,25.9,Rainy
24.4,1007.0,65,0.22,91,25.3,Rainy
25.0,1006.0,65,1.2,87,24.7,Rainy
25.5,1005.0,65,1.6,84,24.1,Rainy
25.1,1005.0,68,0.8,84,22.7,Rainy
24.6,1005.0,71,1.9,84,21.2,Chance of rain
24.2,1005.0,74,2.53,84,19.8,Chance of rain
23.4,1006.0,78,1.27,82,15.5,Chance of rain
22.7,1006.0,81,0.17,79,11.2,Chance of rain
21.9,1006.0,85,0.22,77,6.8,Chance of rain
21.8,1006.0,84,0.11,70,8.6,Chance of rain
21.6,1006.0,84,0.1,63,10.4,Clear
21.5,1006.0,84,0.13,56,12.2,Clear
21.4,1006.0,83,0.07,48,10.8,Clear
21.4,1006.0,82,0.0,40,9.4,Clear
21.3,1006.0,81,0.0,33,7.9,Clear
21.9,1006.0,76,0.0,43,8.0,Clear
22.4,1007.0,72,0.0,54,8.2,Chance of rain
23.0,1007.0,67,0.0,64,8.3,Chance of rain
24.2,1007.0,62,0.0,66,8.4,Chance of rain
25.3,1007.0,57,0.0,68,8.5,Clear
26.5,1007.0,53,0.0,70,8.6,Clear
26.7,1006.0,53,0.0,61,11.8,Clear
26.8,1006.0,53,0.23,51,14.9,Rainy
27.0,1006.0,53,0.31,42,18.0,Rainy
26.5,1005.0,56,0.16,48,20.8,Rainy
26.1,1005.0,59,1.23,54,23.5,Rainy
25.6,1005.0,62,1.64,60,26.3,Rainy
25.2,1005.0,65,0.82,60,24.4,Rainy
24.8,1005.0,67,1.6,61,22.4,Chance of rain
24.4,1006.0,69,2.13,62,20.5,Chance of rain
23.2,1006.0,70,1.07,68,16.3,Chance of rain
22.0,1007.0,71,0.03,75,12.1,Chance of rain
20.8,1007.0,72,0.04,81,7.9,Chance of rain
19.3,1007.0,73,0.02,82,7.0,Chance of rain
17.7,1007.0,74,0.0,82,6.0,Chance of rain
16.2,1007.0,75,0.0,83,5.0,Chance of rain
16.4,1008.0,74,0.0,82,4.9,Chance of rain
16.7,1008.0,74,0.0,82,4.8,Chance of rain
16.9,1008.0,73,0.0,82,4.7,Chance of rain
17.9,1008.0,71,0.0,80,5.3,Chance of rain
19.0,1009.0,68,0.0,77,5.9,Chance of rain
20.0,1009.0,65,0.0,75,6.5,Chance of rain
21.5,1009.0,61,0.0,77,7.8,Chance of rain
23.0,1009.0,57,0.0,78,9.1,Clear
24.5,1009.0,53,0.0,80,10.4,Clear
25.2,1008.0,52,0.0,77,12.1,Clear
25.8,1008.0,50,0.03,74,13.8,Rainy
26.5,1007.0,49,0.04,72,15.5,Rainy
25.8,1007.0,54,0.02,78,18.0,Rainy
25.1,1006.0,58,0.53,83,20.5,Rainy
24.4,1006.0,62,0.71,89,23.0,Rainy
23.8,1006.0,66,0.36,84,22.8,Rainy
23.1,1005.0,70,1.27,79,22.6,Rainy
22.5,1005.0,74,1.69,75,22.3,Rainy
21.8,1005.0,77,0.84,79,19.1,Rainy
21.1,1005.0,80,0.93,84,15.8,Chance of rain
20.4,1006.0,83,1.24,88,12.6,Chance of rain
20.2,1005.0,84,0.62,84,12.8,Chance of rain
20.0,1005.0,85,0.47,80,13.1,Chance of rain
19.8,1005.0,86,0.62,77,13.3,Chance of rain
19.7,1005.0,84,0.31,67,14.2,Chance of rain
19.5,1006.0,82,0.0,57,15.0,Clear
19.4,1006.0,80,0.0,47,15.8,Clear
20.3,1007.0,73,0.0,34,15.2,Clear
21.2,1007.0,66,0.0,21,14.6,Clear
22.1,1008.0,59,0.0,8,14.0,Clear
23.6,1008.0,52,0.0,9,14.2,Clear
25.1,1008.0,45,0.0,9,14.3,Clear
26.6,1008.0,39,0.0,10,14.4,Clear
27.4,1008.0,36,0.0,13,15.0,Clear
28.3,1008.0,33,0.0,16,15.6,Clear
29.1,1008.0,30,0.0,18,16.2,Clear
29.0,1008.0,30,0.0,21,15.8,Clear
29.0,1008.0,30,0.0,23,15.5,Clear
28.9,1008.0,31,0.0,26,15.1,Clear
28.1,1008.0,34,0.0,28,13.9,Clear
27.2,1008.0,38,0.0,30,12.7,Clear
26.4,1009.0,42,0.0,33,11.5,Clear
25.6,1009.0,47,0.0,24,10.3,Clear
24.8,1009.0,52,0.0,16,9.1,Clear
24.0,1010.0,57,0.0,7,7.9,Clear
23.4,1010.0,58,0.0,7,8.8,Clear
22.9,1010.0,59,0.0,6,9.6,Clear
22.3,1010.0,59,0.0,5,10.4,Clear
21.9,1010.0,58,0.0,6,10.4,Clear
21.5,1010.0,57,0.0,7,10.4,Clear
21.1,1011.0,56,0.0,7,10.4,Clear
22.0,1011.0,53,0.0,7,9.5,Clear
22.9,1011.0,49,0.0,7,8.5,Clear
23.8,1011.0,46,0.0,7,7.6,Clear
25.3,1011.0,41,0.0,7,7.6,Clear
26.8,1011.0,37,0.0,6,7.6,Clear
28.3,1010.0,33,0.0,6,7.6,Clear
28.7,1010.0,32,0.0,6,9.7,Clear
29.1,1009.0,31,0.0,7,11.9,Clear
29.5,1009.0,30,0.0,8,14.0,Clear
28.7,1008.0,33,0.0,9,16.2,Clear
27.9,1008.0,35,0.0,10,18.4,Clear
27.1,1008.0,38,0.0,12,20.5,Clear
25.9,1008.0,43,0.0,19,20.9,Clear
24.8,1008.0,47,0.23,27,21.2,Chance of rain
23.6,1008.0,52,0.31,34,21.6,Chance of rain
22.9,1008.0,56,0.16,49,21.5,Chance of rain
22.1,1009.0,60,1.4,64,21.4,Rainy
21.4,1009.0,64,1.87,79,21.2,Rainy
21.1,1009.0,67,0.93,82,20.2,Rainy
20.8,1008.0,70,1.93,84,19.1,Chance of rain
20.5,1008.0,73,2.58,86,18.0,Chance of rain
20.8,1008.0,72,1.29,84,15.0,Chance of rain
21.0,1007.0,71,0.03,81,12.0,Chance of rain
21.3,1007.0,71,0.04,79,9.0,Chance of rain
22.2,1007.0,67,0.02,73,8.5,Chance of rain
23.2,1007.0,63,0.03,66,8.0,Clear
24.1,1007.0,60,0.04,60,7.6,Clear
25.4,1007.0,54,0.02,45,9.6,Clear
26.6,1006.0,49,0.0,30,11.6,Clear
27.9,1006.0,44,0.0,16,13.7,Clear
28.4,1005.0,41,0.0,22,15.5,Clear
